# Copyright (C) 1991-2008 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 8.0 Build 231 07/10/2008 Service Pack 1 SJ Web Edition
# File: C:\Users\dirk\Documents\FH\Lehre\Digitaltechnik\Praktikum\altera\Projects\introtutorial\light.csv
# Generated on: Tue Sep 02 19:25:20 2008

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Location,I/O Bank,I/O Standard,General Function,Special Function,Reserved,Enabled
,PIN_AD8,8,3.3-V LVTTL,Column I/O,LVDS193n,,Yes
,PIN_AE6,8,3.3-V LVTTL,Column I/O,LVDS192p,,Yes
,PIN_AF6,8,3.3-V LVTTL,Column I/O,LVDS192n,,Yes
,PIN_AA9,8,3.3-V LVTTL,Column I/O,,,Yes
,PIN_AA10,8,3.3-V LVTTL,Column I/O,LVDS191p,,Yes
,PIN_AB10,8,3.3-V LVTTL,Column I/O,LVDS191n,,Yes
,PIN_AA11,8,3.3-V LVTTL,Column I/O,LVDS190p,,Yes
,PIN_Y11,8,3.3-V LVTTL,Column I/O,LVDS190n,,Yes
,PIN_AE7,8,3.3-V LVTTL,Column I/O,LVDS189p,,Yes
,PIN_AF7,8,3.3-V LVTTL,Column I/O,LVDS189n,,Yes
,PIN_AE8,8,3.3-V LVTTL,Column I/O,"LVDS188p, DPCLK2/DQS3B/CQ3B#",,Yes
,PIN_AF8,8,3.3-V LVTTL,Column I/O,LVDS188n,,Yes
,PIN_W11,8,3.3-V LVTTL,Column I/O,LVDS187p,,Yes
,PIN_W12,8,3.3-V LVTTL,Column I/O,LVDS187n,,Yes
,PIN_AC9,8,3.3-V LVTTL,Column I/O,LVDS186p,,Yes
,PIN_AC10,8,3.3-V LVTTL,Column I/O,LVDS186n,,Yes
,PIN_AE9,8,3.3-V LVTTL,Column I/O,LVDS185p,,Yes
,PIN_AF9,8,3.3-V LVTTL,Column I/O,LVDS185n,,Yes
,PIN_AD10,8,3.3-V LVTTL,Column I/O,LVDS184p,,Yes
,PIN_AC11,8,3.3-V LVTTL,Column I/O,LVDS184n,,Yes
,PIN_AE10,8,3.3-V LVTTL,Column I/O,LVDS183p,,Yes
,PIN_AF10,8,3.3-V LVTTL,Column I/O,LVDS183n,,Yes
,PIN_AB12,8,3.3-V LVTTL,Column I/O,,,Yes
,PIN_AC12,8,3.3-V LVTTL,Column I/O,VREFB8N0,,Yes
,PIN_AD11,8,3.3-V LVTTL,Column I/O,LVDS182p,,Yes
,PIN_AE11,8,3.3-V LVTTL,Column I/O,LVDS182n,,Yes
,PIN_V14,8,3.3-V LVTTL,Column I/O,LVDS181p,,Yes
,PIN_V13,8,3.3-V LVTTL,Column I/O,LVDS181n,,Yes
,PIN_V11,8,3.3-V LVTTL,Column I/O,LVDS180p,,Yes
,PIN_U12,8,3.3-V LVTTL,Column I/O,LVDS180n,,Yes
,PIN_AA12,8,3.3-V LVTTL,Column I/O,LVDS179p,,Yes
,PIN_Y12,8,3.3-V LVTTL,Column I/O,LVDS179n,,Yes
,PIN_AD12,8,3.3-V LVTTL,Column I/O,LVDS178p,,Yes
,PIN_AE12,8,3.3-V LVTTL,Column I/O,LVDS178n,,Yes
,PIN_AE13,8,3.3-V LVTTL,Column I/O,"LVDS177p, DPCLK3/DQS5B/CQ5B#",,Yes
,PIN_AF13,8,3.3-V LVTTL,Column I/O,LVDS177n,,Yes
,PIN_AC13,8,3.3-V LVTTL,Dedicated Clock,"CLK15, LVDSCLK7p, Input",,Yes
,PIN_AD13,8,3.3-V LVTTL,Dedicated Clock,"CLK14, LVDSCLK7n, Input",,Yes
,PIN_AF14,7,3.3-V LVTTL,Dedicated Clock,"CLK13, LVDSCLK6p, Input",,Yes
,PIN_AE14,7,3.3-V LVTTL,Dedicated Clock,"CLK12, LVDSCLK6n, Input",,Yes
,PIN_AE15,7,3.3-V LVTTL,Column I/O,"LVDS176p, DPCLK4/DQS4B/CQ5B",,Yes
,PIN_AD15,7,3.3-V LVTTL,Column I/O,LVDS176n,,Yes
,PIN_AC14,7,3.3-V LVTTL,Column I/O,,,Yes
,PIN_AA13,7,3.3-V LVTTL,Column I/O,LVDS175p,,Yes
,PIN_Y13,7,3.3-V LVTTL,Column I/O,LVDS175n,,Yes
,PIN_AA14,7,3.3-V LVTTL,Column I/O,LVDS174p,,Yes
,PIN_Y14,7,3.3-V LVTTL,Column I/O,LVDS174n,,Yes
,PIN_Y15,7,3.3-V LVTTL,Column I/O,LVDS173p,,Yes
,PIN_AA15,7,3.3-V LVTTL,Column I/O,LVDS173n,,Yes
,PIN_AB15,7,3.3-V LVTTL,Column I/O,LVDS172p,,Yes
,PIN_AC15,7,3.3-V LVTTL,Column I/O,LVDS172n,,Yes
,PIN_AE16,7,3.3-V LVTTL,Column I/O,LVDS171p,,Yes
,PIN_AD16,7,3.3-V LVTTL,Column I/O,LVDS171n,,Yes
,PIN_AC16,7,3.3-V LVTTL,Column I/O,VREFB7N1,,Yes
,PIN_W15,7,3.3-V LVTTL,Column I/O,LVDS170p,,Yes
,PIN_W16,7,3.3-V LVTTL,Column I/O,LVDS170n,,Yes
,PIN_AF17,7,3.3-V LVTTL,Column I/O,LVDS169p,,Yes
,PIN_AE17,7,3.3-V LVTTL,Column I/O,LVDS169n,,Yes
,PIN_AC17,7,3.3-V LVTTL,Column I/O,LVDS168p,,Yes
,PIN_AD17,7,3.3-V LVTTL,Column I/O,LVDS168n,,Yes
,PIN_AA16,7,3.3-V LVTTL,Column I/O,LVDS167p,,Yes
,PIN_Y16,7,3.3-V LVTTL,Column I/O,LVDS167n,,Yes
,PIN_AF18,7,3.3-V LVTTL,Column I/O,LVDS166p,,Yes
,PIN_AE18,7,3.3-V LVTTL,Column I/O,LVDS166n,,Yes
,PIN_AF19,7,3.3-V LVTTL,Column I/O,"LVDS165p, DPCLK5/DQS2B/CQ3B",,Yes
,PIN_AE19,7,3.3-V LVTTL,Column I/O,LVDS165n,,Yes
,PIN_AB18,7,3.3-V LVTTL,Column I/O,LVDS164p,,Yes
,PIN_AC18,7,3.3-V LVTTL,Column I/O,LVDS164n,,Yes
,PIN_W17,7,3.3-V LVTTL,Column I/O,LVDS163p,,Yes
,PIN_V17,7,3.3-V LVTTL,Column I/O,LVDS163n,,Yes
,PIN_AA17,7,3.3-V LVTTL,Column I/O,LVDS162p,,Yes
,PIN_AA18,7,3.3-V LVTTL,Column I/O,LVDS162n,,Yes
,PIN_AD19,7,3.3-V LVTTL,Column I/O,LVDS161p,,Yes
,PIN_AC19,7,3.3-V LVTTL,Column I/O,LVDS161n,,Yes
